Area affected by floods,Area affected by drought,Hailstorm-affected area,Flood damaged area,Drought damaged area,Hail damaged area,SPI3_1,SPI3_2,SPI3_3,SPI3_4,Maize sown area,Year-end mechanical power,Effective irrigated area,fertilizer application,Agricultural plastic film usage,NDVI_mean6,NDVI_mean7,NDVI_mean8,NDVI_mean9,玉米单位面积产量(公斤/公顷)
0.055098498,0.454553846,0.301619794,0.041447974,0.222151293,0.154795124,0.525821596,0.576719577,0,0.33125,0.294705579,0.052555168,0.183294722,0.064504528,0.044478201,0.704712495,0.876123235,0.912497293,0.770627063,0.215827178
0.494263718,0.067384615,0.304556782,0.233699475,0.051771465,0.404024086,0.502347418,0.37037037,0.604651163,0.485416667,0.300245413,0.07597941,0.20676765,0.076127113,0.06054614,0.780155642,0.899229782,0.952350011,0.886138614,0.302046568
0.421729942,0.253630769,0.212086152,0.40663384,0.368305139,0.278895579,0.145539906,0.504409171,0.465116279,0.41875,0.447919431,0.103948556,0.260047172,0.094566319,0.071873578,0.746217034,0.87847668,0.935672515,0.898396983,0.278080387
0.024454676,1,0.065147739,0.009793842,1,0.048024673,0.248826291,0.897707231,0.177589852,0.189583333,0.550041583,0.12179077,0.323375439,0.115817177,0.083616792,0.819498487,0.865853659,0.879792073,0.839933993,0.128958968
0.058570458,0.245692308,0.43503026,0.027704129,0.296840089,0.376266706,0.284037559,0.536155203,0.418604651,0.275,0.521998043,0.141158755,0.359488443,0.124856965,0.090144801,0.873757026,0.954214805,0.946935239,0.864450731,0.364217281
0.591063476,0.749492308,0.472855109,0.431848926,0.608681775,0.358349244,0.396713615,0.677248677,0.733615222,0.41875,0.591723732,0.172979725,0.418894072,0.154510086,0.086743296,0.734327713,0.887462559,0.930257743,0.932578972,0.283540725
0.08170428,0.155630769,0.092648629,0.066663059,0.247526333,0.082684682,0.429577465,0.761904762,0.429175476,0.525,0.645424737,0.200820891,0.517297552,0.180697682,0.1024904,0.822524859,0.931108258,0.941737059,0.888260255,0.433112527
0.086723526,0.108215385,0.456746173,0.036037011,0.093009895,0.433984432,0.708920188,0.119929453,0.319238901,0.314583333,0.703075765,0.230866781,0.613199853,0.202847615,0.122827407,0.825551232,0.953572957,0.951483647,0.948137671,0.514923959
0.130424938,0.184615385,0.161267355,0,0.132875838,0.13746512,0.190140845,0.48324515,0.45243129,0.727083333,0.828410775,0.268686125,0.706250852,0.222202243,0.152295116,0.887808042,0.957424048,0.951050466,0.855256954,0.454900369
1,0,0.054200783,1,0,0.062417389,0.903755869,0.578483245,0.361522199,0.81875,0.892475489,0.293313699,0.824839876,0.229852552,0.154874891,0.974059663,0.93923834,0.930041152,0.858085809,0.521962868
0.192089969,0.009507692,0.204343183,0.144364482,0.010022343,0.229549126,0.957746479,0.329805996,0.528541226,0.479166667,0.911071366,0.318763161,0.817099429,0.241246281,0.151751661,1,0.985237484,0.929824561,0.886138614,0.560735953
0.180202279,0.074476923,0.125667497,0.172339159,0.118448771,0.14407402,0.509389671,0.569664903,0.636363636,0.38125,1,0.342594609,0.864405891,0.246771504,0.147407293,0.920665802,0.962986735,1,0.991513437,0.551150818
0.105517398,0.454615385,0.182983268,0.034359613,0.69141398,0.218974886,0.678403756,0.520282187,0.917547569,0.4,0.886653899,0.358548722,0.948666073,0.24258672,0.145698356,0.886727194,0.957424048,0.972926143,0.932107496,0.591045402
0.069363726,0.153415385,0.284798861,0.05070072,0.04104692,0.267733882,0.669014085,0.41622575,0.399577167,0.508333333,0.796055148,0.37346488,0.969260443,0.240052964,0.136515274,0.957414613,0.979460847,0.993285683,0.925506836,0.663010834
0.395388331,0.352923077,0.33748665,0.379687246,0.078933929,0.348509326,0.267605634,0.55026455,0.374207188,0.8375,0.857988319,0.395976651,0.98783584,0.230964135,0.128857795,0.971897968,0.989302525,0.979423868,0.91631306,0.660063277
0.197083899,0.13684392,0.194642221,0.1620107,0.158464566,0.220884124,0.462441315,0.345679012,0.657505285,0.922916667,0.797664014,0.418782608,1,0.194396312,0.110524369,0.972762646,1,0.986571367,0.970532768,0.75001728
0.038191562,0.363307692,0.067016732,0.029273308,0.285987871,0.018211191,0.758215962,0.608465608,0.101479915,0.45,0.392977069,0,0.039278788,0.08948246,0.012365241,0.679204496,0.801668806,0.836690492,0.858793022,0.645604193
0.135897049,0.062461538,0.204254183,0.135328175,0.07724226,0.215009546,0.535211268,0.259259259,0.78858351,0.595833333,0.37578861,0.012593429,0.043167881,0.055170497,0.011939644,0.780587981,0.861574668,0.883474117,0.813295615,0.701436098
0.048607442,0.107846154,0.18743325,0.033060982,0.197414619,0.241004553,0.246478873,0.446208113,0.530655391,0.316666667,0.390148623,0.020989325,0.047916557,0.069228757,0.024714113,0.692390834,0.807231493,0.861815031,0.864214993,0.831409543
0.007283569,0.444415385,0.084015664,0.008170554,0.608362592,0.062417389,0.35915493,0.818342152,0.040169133,0.491666667,0.390784274,0.029798243,0.048792914,0.081799457,0.03005045,0.647643753,0.79118528,0.819579814,0.818953324,0.630168537
0.017925881,0.071692308,0.050462798,0.014934257,0.052665177,0.070348069,0.211267606,0.412698413,0.528541226,0.472916667,0.404696473,0.039909384,0.051631637,0.097247197,0.039403771,0.784479032,0.849807445,0.890405025,0.876237624,0.843875346
0.012378293,0.375384615,0.16260235,0.007358909,0.469613789,0.201351153,0.20657277,0.619047619,0.515856237,0.135416667,0.410395561,0.056623891,0.058065936,0.114149802,0.045535647,0.728058798,0.815147625,0.852934806,0.882838284,0.582597373
0.139293532,0.053738462,0.097721609,0.142687084,0.071911906,0.103833162,0.58685446,0.795414462,0.43551797,0.89375,0.435644683,0.068579919,0.066871429,0.128240756,0.047408276,0.72719412,0.846598203,0.867446394,0.863507779,0.638056931
0.020378897,0.038769231,0.091046636,0.010389048,0.044557932,0.052724335,0.784037559,0.114638448,0.304439746,0.29375,0.452697028,0.086034873,0.083794748,0.148510805,0.062196148,0.781452659,0.866495507,0.914013429,0.914662895,0.851899747
0.024983018,0.046738462,0.041295835,0.003300687,0.05298436,0.047437215,0.314553991,0.53968254,0.604651163,0.627083333,0.479097674,0.102623063,0.093092929,0.167358682,0.060988106,0.865974924,0.887890458,0.916612519,0.873408769,0.967532279
